id,name,country,region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,total
0927762f7502e0b77d013238ba8b5147, M. Aparício,portugal,europe,0,0,0,0,0,0,0,3,2,4,0,0,1,0,10
632a0de5f95431c5510ee2de53432ecc, A. Andrade,portugal,europe,1,2,0,1,0,1,0,0,1,1,2,1,0,0,10
9fbeebae7d3587f7a2d096db328ca17d, O. Juanatey-Boga,españa,europe,0,0,0,0,0,1,2,2,0,1,3,1,0,0,10
9c9b56ce15c248088fe322c232303920, I. M. Lopes,portugal,europe,0,0,0,0,0,2,1,2,2,1,2,0,0,0,10
c581d93c5be4c3cf0bdbab60d12d1f7b, M. Muñoz,mexico,north america,0,0,0,0,0,1,2,4,2,1,0,0,0,0,10
aa8baf302801691422645ebb052be228, P. M. Moreira,portugal,europe,3,1,1,2,0,1,1,0,0,1,0,0,0,0,10
1376ca102d2081c9a2ab6c393c8ed79a, M. Mirna,mexico,north america,0,2,1,3,2,1,0,1,0,0,0,0,0,0,10
a872a78b7d239351cce4fbb5fb73c016, A. Coelho,portugal,europe,0,2,4,2,1,0,1,0,0,0,0,0,0,0,10
a9290f7e3e68904e932acf2aeb5885a1, F. Johnson,chile,south america,0,0,0,0,2,8,0,0,0,0,0,0,0,0,10
90e303be7694c35ea935fe635aa7c5de, A. P. Costa,portugal,europe,2,0,0,0,1,0,3,0,0,1,0,0,0,2,9
4eaea9e32b07417e2f440cf3362b993e, F. Caetano,portugal,europe,0,0,0,0,2,1,0,0,0,0,0,1,3,2,9
bb08c69e8c97f46812f8c9b21e401aa7, F. Sá,portugal,europe,0,0,0,0,1,1,0,0,0,1,1,0,0,5,9
dac3c3ce9a0292592d47150edffd8f16, M. J. Ferreira,portugal,europe,0,0,0,0,2,1,1,1,0,1,1,0,0,2,9
aac09cb0adb6ad5184a360e0f8c238c4, W. F. Giozza,brazil,south america,0,0,0,0,0,0,0,0,1,0,4,1,2,1,9
5f9b593fd946cc6dc6a1d6c526e6cc70, G. Marques,portugal,europe,0,0,0,0,0,0,1,2,1,2,1,0,1,1,9
477572e731a7ab14b88dd0d3386a2a69, P. Peres,portugal,europe,0,2,0,0,0,1,1,2,0,1,0,1,0,1,9
f08d0e6163ed14595bfe7c8e4e9c92e1, A. Freitas,brazil,south america,2,4,2,0,0,0,0,0,0,0,0,0,0,1,9
8eaf3a118cdd45f69909a4c58acd7728, R. Alcarria,españa,europe,0,0,0,0,0,0,1,1,1,1,1,1,2,1,9
f0e163bfbaf2ddfdfab845e076ba61d9, E. F. Cruz,portugal,europe,0,0,0,0,0,0,0,0,0,2,2,1,2,2,9
4943699f0f34d9c857c3e2f178a454a2,J. T. Aparicio,portugal,europe,0,0,0,0,0,0,0,1,1,2,1,2,1,1,9
9e21487c29508f0f99c9f9c82a9aae61, M. de Castro Neto,portugal,europe,1,1,0,3,0,0,0,2,0,0,0,0,2,0,9
987c71825d406b2714fb55264ac0c7e2,C. T. Lopes,portugal,europe,0,0,0,0,0,0,3,1,1,3,0,0,1,0,9
575d89d251b8a4f12effbeebcd2a017c,M. -P. Costa-Ruiz,ecuador,south america,0,0,0,0,0,0,1,1,1,2,1,2,1,0,9
67b08383e5d74415147b7392ff47bfa3, M. Gonzalez,ecuador,south america,0,0,0,0,5,2,0,1,0,0,0,1,0,0,9
3f300a5c3e41af4f73240f0f74df23ac, E. Redondo,españa,europe,0,2,2,2,1,1,0,0,0,0,0,1,0,0,9
1cd599d10bb3418f67b6db104c76a039, A. Peña,colombia,south america,0,0,0,1,0,0,1,2,2,2,0,1,0,0,9
e8ceeda8b0ba7de0215f81c1a99edd13, K. Ordóñez,ecuador,south america,0,0,0,0,0,0,3,0,2,0,2,2,0,0,9
989cefb8d525ec5876cda9e7a5a6ca18,J. A. E. Arias,colombia,south america,0,0,0,1,1,1,2,2,1,0,1,0,0,0,9
f551b038d38fbfa7bf045db68593037c, P. Mareca,españa,europe,0,2,1,0,0,0,2,0,1,2,1,0,0,0,9
f408a02abc0300733ed5caf7e999e5c3, C. Teixeira,portugal,europe,2,1,0,0,1,3,0,0,1,0,1,0,0,0,9
669de7fd5648d8d261573c8348730b7b,J. Mejía,mexico,north america,0,0,0,0,0,1,2,3,2,1,0,0,0,0,9
cc53ff0fb2377101391c1afcaf8982ce, T. S. Feliu,españa,europe,2,0,3,1,0,0,0,2,1,0,0,0,0,0,9
cf6c14be679fb877b42bebcf6ceebdb4, C. Ramirez,ecuador,south america,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
37c80f37bb372366847f7fedfd17bebc,L. Enciso-Quispe,ecuador,south america,0,0,0,0,0,0,0,5,4,0,0,0,0,0,9
9fbd17765319cf93bfbd8040aa783104, M. J. Lado,spain,europe,1,0,2,2,0,0,1,1,2,0,0,0,0,0,9
eb5758c73fb975688e47cbd70d95bcb8, J. L. Oliveira,portugal,europe,0,2,1,2,0,3,1,0,0,0,0,0,0,0,9
b10c6344304261ca5dc4f42513f17c16, E. Olguín,chile,south america,0,0,0,0,0,1,8,0,0,0,0,0,0,0,9
b3e9be6d1c2f82e49d0d749766515f7f, M. P. Pérez Cota,spain,europe,0,0,0,4,0,4,1,0,0,0,0,0,0,0,9
2507fd2c15b2cbdc9fd822faf6dbba25, A. Santos,portugal,europe,0,1,0,0,0,0,0,0,1,2,1,0,2,1,8
ed7be61ec4657c224199dd6127b15e27,C. Silveira,portugal,europe,0,0,0,0,0,0,0,0,0,0,1,2,3,2,8
682d83bda1eb7de6698341e05204627b,M. Abbasi,portugal,europe,0,0,0,0,0,0,0,0,0,1,1,1,0,5,8
8cf0c2c2596c50ab2ba7002723547326, L. Teixeira,portugal,europe,0,0,0,0,0,1,0,0,0,2,0,1,0,4,8
c5a8edb5fcc0f432a6cd101e3d4b59ce, W. B. Santos,brazil,south america,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
7cda9b04db8a79ec17dff75c1e7a2972,I. Calvo,españa,europe,0,2,2,0,1,1,0,0,1,0,0,0,0,1,8
a3111413567069a46b810665f79c2ea8, S. Paiva,portugal,europe,0,0,0,0,0,0,0,1,2,0,2,2,0,1,8
56ec968c84e0ae2b1080ddce4e8b1420, S. I. Lopes,portugal,europe,0,0,0,0,0,0,0,0,0,0,1,2,3,2,8
389eb6f41c1311250766a43db7c48931, C. Quesada-López,costa rica,central america,0,0,0,0,0,0,0,0,0,3,3,1,0,1,8
ee7b9646c44ceb0a4a5ab09862be85de, R. Oliveira,portugal,europe,0,0,0,0,0,1,1,1,0,2,0,0,1,2,8
0ccd4d5c3f83c1e641265cd0ae11d9af,V. Vasconcelos,portugal,europe,1,1,0,1,0,0,1,0,0,0,2,0,1,1,8
e58d244c26c8e7997bba4d5dea0e67e1, V. Carvalho,portugal,europe,0,0,0,0,0,2,3,1,1,0,0,0,0,1,8
263add82b74bdc43c464105d10bf3275, R. Toasa,ecuador,south america,0,0,0,0,0,0,0,2,3,2,0,0,0,1,8
02995aaea92346bac85dd7af25bb5e4c, A. Cardoso,brazil,south america,0,0,0,2,0,0,0,0,0,0,0,0,1,5,8
49d07cdbbb26e3c1a9fed509049cc928, I. F. Silveira,brazil,south america,0,0,0,0,0,0,1,0,0,1,3,1,0,2,8
8b356e8984d34e18d2a0a692a344d506, C. Sousa,portugal,europe,0,0,0,1,0,0,0,0,3,2,0,1,0,1,8
de0735d143882bf95eca497bebbde43a, R. C. Mauro,brazil,south america,0,0,0,0,0,0,1,1,0,0,2,2,1,1,8
90ca4a1f2e2b69fefbfe59cfe1861959,R. Abreu,portugal,europe,0,0,0,0,1,1,0,1,0,1,1,1,1,1,8
8e30438124544f282a6fc1f96403cd0c, G. L. Miranda,portugal,europe,0,1,1,2,1,0,1,1,0,0,0,0,0,1,8
c7bf35c102455ce7763b0c404f50cd13,R. Simoes,portugal,europe,1,1,0,1,0,1,0,0,0,1,0,2,0,1,8
185695ef9d346e55f9ef2345a4a46ce5, A. Gomes,portugal,europe,0,0,0,0,0,0,0,1,1,2,0,2,1,1,8
3828a3f3e065f84c03ff90f6bfaf3dac, T. Rocha,portugal,europe,0,0,0,0,0,1,2,1,1,2,0,0,0,1,8
8ec3641d53ffd4d4b492ff161f7b51df, H. Inácio,portugal,europe,0,0,0,0,0,0,0,0,2,2,1,0,0,3,8
e94e68bcb2adae17ebce89afbe3aef7e, M. A. Eliseo,brazil,south america,0,0,0,0,0,0,0,1,0,1,3,1,1,1,8
8e01cd778594507a3814ec61f0d36865, S. Rodrigues,portugal,europe,0,0,0,0,0,0,0,2,2,0,2,1,1,0,8
e3d023700af6ee07f688abb6ae80b2cb, M. -F. Zumba-Zúñiga,ecuador,south america,0,0,0,0,0,0,1,0,0,0,2,3,2,0,8
6f8dc4f3e675e512b2401a0d69e96345, J. P. Silva,portugal,europe,1,1,0,1,0,0,0,0,0,1,3,0,1,0,8
89d9d3c768a3df067116d0bbaae330d6, S. Araya-Guzmán,chile,south america,0,0,0,0,0,0,0,0,0,5,1,0,2,0,8
1fb6376794ac8e41363dcd7883a53d9d, P. Carvalho,portugal,europe,0,0,0,0,0,1,0,0,1,2,3,0,1,0,8
e9072d80adb0d7433f64db08af820008, M. R. G. Castro,spain,europe,0,1,1,0,1,0,1,0,2,0,1,0,1,0,8
339e5f627ff5493bc96b417a91b23f3e, R. Armas,ecuador,south america,0,0,0,0,0,0,1,0,1,0,0,0,6,0,8
6ecb381c8564ce6dd721e4c82d32b8a6,L. Carpio-Jiménez,ecuador,south america,0,0,0,0,0,0,0,0,1,2,1,3,1,0,8
78723b9c3647d1e635746d0b3254a800, J. Díaz,españa,europe,0,0,0,0,0,1,0,1,2,1,2,0,1,0,8
